Barcode|DateTime
230210V019210T|20230228031814
230210V019200T|20230228031828
230210V019190T|20230228031833
230210V019180T|20230228031836
230210V019170T|20230228031839
230210V019160T|20230228031843
230210V019150T|20230228031846
230210V019140T|20230228031850
230210V019130T|20230228031854
230210V019120T|20230228031856
230210V019110T|20230228031901
230210V019030T|20230228031906
230210V019020T|20230228031909
230210V019010T|20230228031914
230210V019560T|20230228031950
230210V019570T|20230228031955
230210V021410T|20230228031959
230210V019900T|20230228041756
230210V019890T|20230228041759
230210V019880T|20230228041802
230210V019870T|20230228041803
230210V019860T|20230228041806
230210V019850T|20230228041808
230210V019840T|20230228041811
230210V019830T|20230228041812
230210V019820T|20230228041816
230210V019810T|20230228041819
230210V020000T|20230228041824
230210V019990T|20230228041825
230210V019980T|20230228041842
230210V019970T|20230228041845
230210V019960T|20230228041851
230210V019950T|20230228041859
230210V019940T|20230228041902
230210V019930T|20230228041905
230210V019920T|20230228041908
230210V019910T|20230228041913
230210V020010T|20230228041918
230210V020020T|20230228041922
230210V020030T|20230228041926
230210V020040T|20230228041929
230210V020050T|20230228041933
230210V020060T|20230228041936
230210V020070T|20230228041939
230210V020080T|20230228041949
230210V020090T|20230228041953
230210V020100T|20230228042001
230210V019730T|20230228042007
230210V019750T|20230228042012
230210V019790T|20230228042015
230210V019740T|20230228042020
230210V019770T|20230228042028
230210V019760T|20230228042032
230210V019720T|20230228042103
230210V019710T|20230228042107
230210V019610T|20230228042111
230210V019620T|20230228042114
230210V019630T|20230228042117
230210V019640T|20230228042121
230210V019650T|20230228042126
230210V019660T|20230228042136
230210V019670T|20230228042139
230210V019680T|20230228042143
230210V019690T|20230228042147
230210V019700T|20230228042150
230210V019590T|20230228042154
230210V019600T|20230228042157
230210V020200T|20230228042219
230210V020190T|20230228042224
230210V020180T|20230228042227
230210V020170T|20230228042231
230210V020160T|20230228042234
230210V020150T|20230228042239
230210V020130T|20230228042300
230210V020140T|20230228042303
230210V021300T|20230228050510
230210V021290T|20230228050514
230210V021280T|20230228050519
230210V021270T|20230228050521
230210V021260T|20230228050525
230210V021250T|20230228050528
230210V021240T|20230228050532
230210V021230T|20230228050535
230210V021220T|20230228050541
230210V021400T|20230228050547
230210V021390T|20230228050550
230210V021370T|20230228051331
230210V021360T|20230228051345
230210V021350T|20230228051348
230210V021340T|20230228051352
230210V021330T|20230228051355
230210V021320T|20230228051358
230210V021310T|20230228051401
230210V021500T|20230228051423
230210V021490T|20230228051428
